word,count,doc_count,idf
",",72974.0,1996,0.0020020026706729687
.,58494.0,1994,0.003004509020298722
's,16987.0,1947,0.02685745416988258
--,6422.0,1890,0.05657035148839424
),3646.0,1874,0.06507199674371479
(,3610.0,1874,0.06507199674371479
``,18936.0,1832,0.08773891430800689
'',17875.0,1829,0.0893778111512167
cnn,3882.0,1800,0.10536051565782635
said,11284.0,1609,0.21753431254969918
one,3501.0,1416,0.34531118528841737
say,3607.0,1342,0.3989861420104553
:,4244.0,1290,0.43850496218636464
year,3098.0,1225,0.490206336563255
also,2365.0,1225,0.490206336563255
n't,3903.0,1205,0.506667613617327
time,2435.0,1181,0.5267856433447201
people,3368.0,1125,0.5753641449035618
two,2201.0,1084,0.6124892775424909
new,2679.0,1034,0.6597124044737079
would,2527.0,1013,0.680230955293399
could,1825.0,925,0.7711087220296572
',1846.0,925,0.7711087220296572
told,1856.0,924,0.7721903879003982
first,1737.0,903,0.7951799061250969
day,1825.0,898,0.8007323912398827
last,1563.0,894,0.8051966843685683
state,2554.0,854,0.8509712657535125
like,1829.0,843,0.8639355015402269
according,1468.0,813,0.9001713499942717
many,1465.0,804,0.9113031903631159
make,1317.0,772,0.9519179095173061
week,1237.0,747,0.984837274409265
take,1137.0,741,0.9929018342459955
?,2063.0,740,0.9942522733438669
get,1376.0,735,1.0010319603292457
way,1226.0,724,1.016111067156366
world,1754.0,722,1.0188773206492563
country,1621.0,716,1.0272222925814367
back,1137.0,713,1.0314210391277865
three,1174.0,712,1.0328245481301066
made,1057.0,690,1.0642108619507773
since,1045.0,689,1.0656611885284237
even,1084.0,677,1.0832311866298074
u.s.,1796.0,662,1.1056369036050742
official,1528.0,662,1.1056369036050742
still,1020.0,658,1.1116975282167652
come,977.0,655,1.1162672239068305
may,1103.0,648,1.1270117631898076
right,1232.0,633,1.1504320373979062
part,952.0,630,1.155182640156504
home,1217.0,620,1.171182981502945
know,1073.0,616,1.1776554960085626
go,969.0,613,1.182537523605871
month,943.0,613,1.182537523605871
life,1180.0,608,1.1907275775759152
see,948.0,603,1.198985262814897
including,814.0,594,1.2140231401794375
want,1036.0,592,1.2173958246580767
another,806.0,587,1.225877639713986
around,847.0,587,1.225877639713986
well,796.0,575,1.246532418744732
family,1404.0,572,1.2517634681622845
government,1585.0,570,1.2552660987134865
think,1085.0,567,1.2605431558143303
united,1167.0,566,1.2623083813388993
president,1583.0,564,1.2658482080440234
going,933.0,560,1.2729656758128876
much,845.0,556,1.2801341652915
group,1278.0,552,1.287354413264987
work,887.0,545,1.3001166648788383
place,791.0,538,1.313043899380298
need,926.0,536,1.3167682984712803
thing,883.0,530,1.3280254529959148
called,715.0,522,1.3432348716594436
u,888.0,522,1.3432348716594436
;,978.0,520,1.3470736479666094
're,1049.0,519,1.3489985763761938
national,876.0,512,1.3625778345025745
contributed,522.0,510,1.3664917338237108
statement,893.0,507,1.3723914559508992
show,945.0,502,1.3823023398503531
city,1279.0,501,1.3842963584572174
member,892.0,501,1.3842963584572174
put,663.0,497,1.3923124334454535
took,636.0,491,1.4044583317475619
good,730.0,484,1.4188175528254505
american,1053.0,484,1.4188175528254505
case,1049.0,479,1.4292018621311673
found,870.0,478,1.4312917270506262
end,639.0,475,1.4375876555074412
four,676.0,470,1.448169764837978
help,779.0,467,1.4545732018731852
next,656.0,463,1.4631754054558481
million,1044.0,459,1.4718522494815371
never,678.0,459,1.4718522494815371
later,605.0,456,1.4784096500276964
report,835.0,455,1.480605040591132
long,603.0,450,1.491654876777717
set,637.0,444,1.5050778971098577
man,805.0,442,1.5095925774643841
came,571.0,442,1.5095925774643841
$,1251.0,437,1.5209692644464923
international,797.0,434,1.5278579254416773
news,822.0,434,1.5278579254416773
police,1687.0,432,1.5324768712979722
area,734.0,431,1.5347943694383346
former,723.0,430,1.5371172508544744
public,728.0,428,1.5417792639602856
least,635.0,426,1.546463113272712
without,588.0,426,1.546463113272712
point,704.0,425,1.5488132906176655
authority,841.0,417,1.567816237743281
call,665.0,416,1.570217199280819
number,626.0,416,1.570217199280819
left,585.0,416,1.570217199280819
wednesday,743.0,415,1.5726239393113841
house,977.0,409,1.5871873034992807
child,1169.0,407,1.5920892740994874
issue,701.0,406,1.5945492999403497
tuesday,731.0,403,1.6019658975953994
several,513.0,403,1.6019658975953994
second,672.0,402,1.6044503709230613
...,680.0,400,1.6094379124341003
reported,668.0,399,1.611941042652219
five,560.0,398,1.6144504542576448
death,883.0,398,1.6144504542576448
nation,732.0,398,1.6144504542576448
used,570.0,393,1.6270928476728213
monday,742.0,389,1.637323115923636
others,502.0,389,1.637323115923636
really,614.0,389,1.637323115923636
every,584.0,389,1.637323115923636
went,519.0,387,1.6424777665123005
leader,765.0,382,1.6554818509355071
've,676.0,382,1.6554818509355071
something,572.0,382,1.6554818509355071
away,506.0,382,1.6554818509355071
'm,683.0,381,1.6581030844153815
got,568.0,381,1.6581030844153815
killed,797.0,379,1.663366254459656
security,882.0,379,1.663366254459656
among,517.0,378,1.6660082639224947
lot,606.0,377,1.6686572720940716
friday,691.0,375,1.6739764335716716
find,520.0,371,1.6847003969346472
asked,501.0,371,1.6847003969346472
saying,504.0,368,1.6928195213731514
look,528.0,368,1.6928195213731514
might,516.0,368,1.6928195213731514
high,537.0,368,1.6928195213731514
face,511.0,366,1.6982691261407161
thursday,669.0,366,1.6982691261407161
whether,523.0,366,1.6982691261407161
give,465.0,362,1.7092582477163114
night,573.0,362,1.7092582477163114
hour,537.0,362,1.7092582477163114
ago,437.0,359,1.7175800710538036
past,462.0,358,1.720369473141382
office,605.0,356,1.725971728690052
force,782.0,354,1.731605546408308
center,568.0,352,1.7372712839439852
little,480.0,351,1.7401162360762166
medium,573.0,351,1.7401162360762166
mean,480.0,351,1.7401162360762166
hope,491.0,350,1.742969305058623
service,684.0,349,1.7458305373396552
top,547.0,349,1.7458305373396552
10,474.0,348,1.748699979767608
use,565.0,347,1.7515776795952231
woman,1058.0,343,1.7631720123761423
support,563.0,343,1.7631720123761423
best,496.0,341,1.7690199822585655
great,519.0,340,1.7719568419318754
recent,432.0,339,1.774902352161632
team,759.0,337,1.7808195291897206
far,432.0,336,1.783791299578878
department,610.0,335,1.786771927717016
effort,467.0,333,1.7927599695616385
added,421.0,333,1.7927599695616385
today,487.0,332,1.7957674906255938
known,419.0,331,1.7987840841650196
